Date,Output
06-04-2021,45450
07-04-2021,45500
08-04-2021,45650
09-04-2021,45800
10-04-2021,46100
12-04-2021,45850
13-04-2021,45700
14-04-2021,45850
15-04-2021,46000
16-04-2021,46000
17-04-2021,45850
19-04-2021,45750
20-04-2021,45650
21-04-2021,45600
22-04-2021,45600
23-04-2021,45700
24-04-2021,45900
26-04-2021,46000
27-04-2021,46050
28-04-2021,46150
29-04-2021,46050
30-04-2021,45900
01-05-2021,45950
03-05-2021,45850
04-05-2021,45800
05-05-2021,45850
06-05-2021,45950
07-05-2021,46150
08-05-2021,46250
10-05-2021,46350
11-05-2021,46400
12-05-2021,46550
13-05-2021,46550
14-05-2021,46650
15-05-2021,46700
17-05-2021,46750
18-05-2021,46800
19-05-2021,46900
20-05-2021,47050
21-05-2021,47150
22-05-2021,47350
24-05-2021,47500
25-05-2021,47650
26-05-2021,47800
27-05-2021,48000
28-05-2021,48300
29-05-2021,48500
31-05-2021,48750
01-06-2021,49050
02-06-2021,49600
03-06-2021,49900
04-06-2021,49800
05-06-2021,50000
07-06-2021,50450
08-06-2021,50800
09-06-2021,51200
10-06-2021,51100
11-06-2021,51100
12-06-2021,51150
14-06-2021,50850
15-06-2021,50600
16-06-2021,50600
17-06-2021,50550
18-06-2021,50600
19-06-2021,50500
21-06-2021,50750
22-06-2021,50850
23-06-2021,51000
24-06-2021,51350
25-06-2021,51750
26-06-2021,51800
28-06-2021,51800
29-06-2021,51900
30-06-2021,52050
01-07-2021,51950
02-07-2021,52100
03-07-2021,52100
05-07-2021,52300
06-07-2021,52550
07-07-2021,52750
08-07-2021,53000
09-07-2021,52950
10-07-2021,53100
12-07-2021,53150
13-07-2021,53300
14-07-2021,53550
15-07-2021,53900
16-07-2021,54250
17-07-2021,54500
19-07-2021,54750
20-07-2021,54750
21-07-2021,54950
22-07-2021,55400
23-07-2021,55750
24-07-2021,55900
26-07-2021,56100
27-07-2021,56250
28-07-2021,56500
29-07-2021,56850
30-07-2021,57150
31-07-2021,57400
02-08-2021,57350
03-08-2021,57250
04-08-2021,57350
05-08-2021,57400
06-08-2021,57450
07-08-2021,57550
09-08-2021,57400
10-08-2021,57350
11-08-2021,57100
12-08-2021,57100
13-08-2021,57250
14-08-2021,57200
16-08-2021,57400
17-08-2021,57450
18-08-2021,57500
19-08-2021,57400
20-08-2021,57100
21-08-2021,57150
23-08-2021,57050
24-08-2021,56950
25-08-2021,56800
26-08-2021,56850
27-08-2021,56650
28-08-2021,56600
30-08-2021,56600
31-08-2021,56450
01-09-2021,56200
02-09-2021,55900
03-09-2021,56000
04-09-2021,55900
06-09-2021,55900
07-09-2021,55500
08-09-2021,55600
09-09-2021,55700
10-09-2021,55750
11-09-2021,55750
13-09-2021,55650
14-09-2021,55500
15-09-2021,55500
16-09-2021,55550
17-09-2021,55600
18-09-2021,55500
20-09-2021,55350
21-09-2021,55200
22-09-2021,55200
23-09-2021,55400
24-09-2021,55500
25-09-2021,55550
27-09-2021,55750
28-09-2021,55900
29-09-2021,56500
30-09-2021,56750
01-10-2021,57050
02-10-2021,57050
04-10-2021,56250
05-10-2021,56750
06-10-2021,58250
07-10-2021,58550
08-10-2021,59050
09-10-2021,59050
11-10-2021,58950
12-10-2021,59450
13-10-2021,59350
14-10-2021,59650
15-10-2021,60250
16-10-2021,60000
18-10-2021,60750
19-10-2021,61050
20-10-2021,61200
21-10-2021,61450
22-10-2021,61750
23-10-2021,61850
25-10-2021,62750
26-10-2021,63100
27-10-2021,63450
28-10-2021,63900
29-10-2021,65150
30-10-2021,66250
01-11-2021,67250
02-11-2021,67750
03-11-2021,67400
04-11-2021,67250
09-11-2021,66400
10-11-2021,66650
11-11-2021,67100
12-11-2021,66850
13-11-2021,66650
15-11-2021,66350
16-11-2021,65900
17-11-2021,64500
18-11-2021,64750
19-11-2021,64950
20-11-2021,65150
22-11-2021,65700
23-11-2021,65600
24-11-2021,65850
26-11-2021,66050
27-11-2021,65250
29-11-2021,65200
30-11-2021,64450
01-12-2021,64500
02-12-2021,64000
03-12-2021,64150
04-12-2021,64450
06-12-2021,65000
07-12-2021,65550
08-12-2021,65500
09-12-2021,65400
10-12-2021,65350
11-12-2021,65250
13-12-2021,65350
14-12-2021,65500
15-12-2021,65650
16-12-2021,65850
17-12-2021,66300
18-12-2021,66300
20-12-2021,65900
21-12-2021,65900
22-12-2021,66150
23-12-2021,66500
24-12-2021,66850
25-12-2021,67150
27-12-2021,67950
28-12-2021,68750
29-12-2021,69000
30-12-2021,69850
31-12-2021,70150
01-01-2022,70400
03-01-2022,71250
04-01-2022,72450
05-01-2022,74000
06-01-2022,73250
07-01-2022,73800
08-01-2022,73500
10-01-2022,73450
11-01-2022,73050
12-01-2022,72900
13-01-2022,73250
14-01-2022,73250
15-01-2022,73550
17-01-2022,73530
18-01-2022,74100
19-01-2022,75100
20-01-2022,75750
21-01-2022,75250
22-01-2022,75000
24-01-2022,75200
25-01-2022,75400
26-01-2022,75650
27-01-2022,75900
28-01-2022,75800
29-01-2022,76300
31-01-2022,77100
01-02-2022,77750
02-02-2022,77600
03-02-2022,77500
04-02-2022,78100
05-02-2022,77850
07-02-2022,77750
08-02-2022,77650
09-02-2022,77900
10-02-2022,77950
11-02-2022,78450
12-02-2022,78600
14-02-2022,79500
15-02-2022,79350
16-02-2022,78650
17-02-2022,78250
18-02-2022,78350
19-02-2022,78500
21-02-2022,77750
22-02-2022,76750
23-02-2022,77150
24-02-2022,77250
25-02-2022,76650
26-02-2022,76650
28-02-2022,75900
01-03-2022,76150
02-03-2022,77000
03-03-2022,76750
04-03-2022,76800
05-03-2022,76800
07-03-2022,76600
08-03-2022,76650
09-03-2022,77000
10-03-2022,77350
11-03-2022,77750
12-03-2022,78750
14-03-2022,79000
15-03-2022,78800
16-03-2022,79100
17-03-2022,79600
19-03-2022,81250
21-03-2022,82250
22-03-2022,83000
23-03-2022,83750
24-03-2022,84500
25-03-2022,85250
26-03-2022,87000
28-03-2022,89500
29-03-2022,90000
30-03-2022,89650
31-03-2022,90100
01-04-2022,90000
02-04-2022,90000
04-04-2022,90150
05-04-2022,90500
06-04-2022,91250
07-04-2022,91550
08-04-2022,91750
09-04-2022,91550
11-04-2022,91150
12-04-2022,91750
13-04-2022,92250
14-04-2022,93000
15-04-2022,93250
16-04-2022,93150
18-04-2022,94100
19-04-2022,94250
20-04-2022,94000
21-04-2022,94600
22-04-2022,94100
23-04-2022,93950
25-04-2022,93300
26-04-2022,93500
27-04-2022,93750
28-04-2022,94400
29-04-2022,95500
30-04-2022,95500
02-05-2022,94850
03-05-2022,95750
04-05-2022,95450
05-05-2022,96250
06-05-2022,96150
07-05-2022,95850
09-05-2022,97000
10-05-2022,97500
11-05-2022,98250
12-05-2022,98750
13-05-2022,99500
14-05-2022,100000
16-05-2022,101000
17-05-2022,102500
18-05-2022,102000
19-05-2022,102000
20-05-2022,103000
21-05-2022,102000
23-05-2022,101500
24-05-2022,102500
25-05-2022,101500
26-05-2022,101000
27-05-2022,100500
28-05-2022,100500
30-05-2022,99500
31-05-2022,100000
01-06-2022,99500
02-06-2022,97500
03-06-2022,98500
04-06-2022,97500
06-06-2022,99000
07-06-2022,98500
08-06-2022,99500
09-06-2022,99500
10-06-2022,100000
11-06-2022,100000
13-06-2022,100000
14-06-2022,101000
15-06-2022,100500
16-06-2022,100750
17-06-2022,101000
18-06-2022,100250
20-06-2022,99750
21-06-2022,99000
22-06-2022,98000
23-06-2022,96750
24-06-2022,95500
25-06-2022,94500
27-06-2022,95000
28-06-2022,94750
29-06-2022,95500
30-06-2022,94750
01-07-2022,94000
02-07-2022,93500
04-07-2022,92750
05-07-2022,92000
06-07-2022,91000
07-07-2022,88750
08-07-2022,87000
09-07-2022,87500
11-07-2022,86750
12-07-2022,86350
13-07-2022,86500
